PurchaseID,No Nota,SupplierID,TransactionDate,Remarks,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy
434,088800/13,86,2013-06-07,,2018-05-02,Admin,,
435,088802/13,86,2013-06-07,,2018-05-02,Admin,,
436,088803/13,86,2013-06-07,,2018-05-02,Admin,,
437,088813/13,86,2013-06-07,,2018-05-02,Admin,,
438,088815/13,86,2013-06-07,,2018-05-02,Admin,,
439,088816/13,86,2013-06-07,,2018-05-02,Admin,,
440,088818/13,86,2013-06-07,,2018-05-02,Admin,,
441,088804/13,86,2013-06-07,,2018-05-02,Admin,,
442,088806/13,86,2013-06-07,,2018-05-02,Admin,,
443,088809/13,86,2013-06-07,,2018-05-02,Admin,,
444,088810/13,86,2013-06-07,,2018-05-02,Admin,,
445,088812/13,86,2013-06-07,,2018-05-02,Admin,,
446,088820/13,86,2013-06-07,,2018-05-02,Admin,,
447,088822/13,86,2013-06-07,,2018-05-02,Admin,,
448,088823/13,86,2013-06-07,,2018-05-02,Admin,,
449,089114/13,86,2013-06-13,,2018-05-02,Admin,,
450,089115/13,86,2013-06-13,,2018-05-02,Admin,,
451,089116/13,86,2013-06-13,,2018-05-02,Admin,,
452,089117/13,86,2013-06-13,,2018-05-02,Admin,,
453,089119/13,86,2013-06-13,,2018-05-02,Admin,,
454,089121/13,86,2013-06-13,,2018-05-02,Admin,,
455,089122/13,86,2013-06-13,,2018-05-02,Admin,,
456,089118/13,86,2013-06-13,,2018-05-02,Admin,,
457,034348/15,86,2015-04-30,,2018-05-02,Admin,,
458,034349/15,86,2015-04-30,,2018-05-02,Admin,,
459,034351/15,86,2015-04-30,,2018-05-02,Admin,,
