PurchaseID;PurchaseNumber;SupplierID;TransactionDate;PaymentTypeID;Deadline;Remarks;CreatedDate;CreatedBy;ModifiedDate;ModifiedBy
436;VK-1504116;32;2015-04-18;1;;;2018-08-21;Admin1;;
437;F0335;4;2015-04-20;1;;;2018-08-21;Admin1;;
438;35334;4;2015-04-29;1;;;2018-08-21;Admin1;;
439;VK-1503423;4;2015-04-04;1;;;2018-08-21;Admin1;;
440;VRT29415;4;2015-04-29;1;;;2018-08-21;Admin1;;
441;VK1504742;4;2015-05-02;1;;;2018-08-21;Admin1;;
442;35962;4;2015-05-27;1;;;2018-08-21;Admin1;;
443;35963;4;2015-05-27;1;;;2018-08-21;Admin1;;
444;90;4;2016-03-15;1;;;2018-08-21;Admin1;;
445;132;4;2016-03-25;1;;;2018-08-21;Admin1;;
446;47;4;2016-03-09;1;;;2018-08-21;Admin1;;
447;75;4;2016-03-09;1;;;2018-08-21;Admin1;;
448;J-1503000175;4;2015-07-03;1;;;2018-08-21;Admin1;;
449;J1503000659;4;2015-03-27;1;;;2018-08-21;Admin1;;
450;AJM19917;4;2017-09-19;1;;;2018-08-21;Admin1;;
451;AJM5717;4;2017-07-05;1;;;2018-08-21;Admin1;;
452;FJ1708-01;4;2017-08-26;1;;;2018-08-21;Admin1;;
453;JT29417;4;2017-04-29;1;;;2018-08-21;Admin1;;
454;SJ0001708-0001;4;2017-08-31;1;;;2018-08-21;Admin1;;
455;KL1709-000047;4;2017-09-22;1;;;2018-08-21;Admin1;;
456;PJL0017802;4;2017-11-28;1;;;2018-08-21;Admin1;;
