PurchaseDetailsID;PurchaseID;ItemID;ItemDetailsID;BranchID;Quantity;BuyPrice;RetailPrice;Price1;Price2;CreatedDate;CreatedBy;ModifiedDate;ModifiedBy
4304;687;4256;;1;1;31500;50000;0;0;2018-08-21;Admin1;;
4305;688;4257;;1;1;18900;25500;0;0;2018-08-21;Admin1;;
4306;688;4258;;1;1;16800;22500;0;0;2018-08-21;Admin1;;
4307;688;4259;;1;1;21000;28500;0;0;2018-08-21;Admin1;;
4308;689;4260;;1;3;16000;21000;0;0;2018-08-21;Admin1;;
4309;689;4261;;1;2;16000;21000;0;0;2018-08-21;Admin1;;
4310;689;4262;;1;2;16000;21000;0;0;2018-08-21;Admin1;;
4311;689;4263;;1;2;16000;21000;0;0;2018-08-21;Admin1;;
4312;689;4264;;1;2;16000;21000;0;0;2018-08-21;Admin1;;
4313;689;4265;;1;2;16000;21000;0;0;2018-08-21;Admin1;;
4314;689;4266;;1;3;16000;21000;0;0;2018-08-21;Admin1;;
4315;689;4267;;1;1;16000;21000;0;0;2018-08-21;Admin1;;
4316;690;4268;;1;1;16000;21000;0;0;2018-08-21;Admin1;;
4317;690;4269;;1;5;14400;18000;0;0;2018-08-21;Admin1;;
4318;690;4270;;1;3;10400;13000;0;0;2018-08-21;Admin1;;
4319;690;4271;;1;2;4000;5000;0;0;2018-08-21;Admin1;;
4320;690;4272;;1;1;11200;14000;0;0;2018-08-21;Admin1;;
4321;690;4273;;1;1;12000;15000;0;0;2018-08-21;Admin1;;
4322;690;4274;;1;1;12000;15000;0;0;2018-08-21;Admin1;;
4323;690;4275;;1;1;12800;16000;0;0;2018-08-21;Admin1;;
4324;691;4276;;1;3;4000;5000;0;0;2018-08-21;Admin1;;
4325;692;4277;;1;1;6800;8500;0;0;2018-08-21;Admin1;;
4326;692;4278;;1;1;12800;16000;0;0;2018-08-21;Admin1;;
4327;692;4279;;1;1;14000;17500;0;0;2018-08-21;Admin1;;
4328;692;4280;;1;1;10880;13600;0;0;2018-08-21;Admin1;;
4329;692;4281;;1;1;11200;14000;0;0;2018-08-21;Admin1;;
4330;692;4282;;1;1;11200;15000;0;0;2018-08-21;Admin1;;
4331;692;4283;;1;1;8000;11000;0;0;2018-08-21;Admin1;;
4332;692;4284;;1;1;9200;12500;0;0;2018-08-21;Admin1;;
4333;693;4285;;1;10;1000;1500;0;0;2018-08-21;Admin1;;
4334;693;4286;;1;10;1280;1700;0;0;2018-08-21;Admin1;;
4335;693;4287;;1;10;1600;2200;0;0;2018-08-21;Admin1;;
4336;693;4288;;1;1;25600;34500;0;0;2018-08-21;Admin1;;
4337;693;4289;;1;2;22400;30000;0;0;2018-08-21;Admin1;;
4338;693;4290;;1;1;21200;28500;0;0;2018-08-21;Admin1;;
4339;693;4291;;1;1;21200;28500;0;0;2018-08-21;Admin1;;
4340;693;4292;;1;1;22400;30000;0;0;2018-08-21;Admin1;;
4341;694;4293;;1;2;27000;36500;0;0;2018-08-21;Admin1;;
4342;694;4294;;1;2;27000;36500;0;0;2018-08-21;Admin1;;
4343;694;4295;;1;2;28440;38500;0;0;2018-08-21;Admin1;;
4344;694;4296;;1;2;27000;36500;0;0;2018-08-21;Admin1;;
4345;694;4297;;1;2;27000;36500;0;0;2018-08-21;Admin1;;
4346;695;4298;;1;1;26040;35000;0;0;2018-08-21;Admin1;;
4347;696;4299;;1;2;4675;6500;0;0;2018-08-21;Admin1;;
4348;696;4300;;1;2;5225;7000;0;0;2018-08-21;Admin1;;
4349;696;4301;;1;2;6050;8000;0;0;2018-08-21;Admin1;;
